,Premis Desc
TUNNEL,29
MTA - EXPO LINE - 7TH AND METRO CENTER,26
MTA - EXPO LINE - PICO,25
MTA - GOLD LINE - CHINATOWN,25
MTA - ORANGE LINE - CANOGA,25
VETERINARIAN/ANIMAL HOSPITAL,25
CATERING/ICE CREAM TRUCK,24
TOOL SHED*,24
"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",23
ENERGY PLANT/FACILITY,22
MTA - ORANGE LINE - VAN NUYS,22
BOOK STORE,22
MTA - EXPO LINE - WESTWOOD/RANCHO PARK,22
AMTRAK TRAIN,22
MOSQUE*,22
DAM/RESERVOIR,22
HOSPICE,22
PEDESTRIAN OVERCROSSING,22
MORTUARY,22
AIRCRAFT,21
"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",21
MTA - ORANGE LINE - CHATSWORTH,20
TRASH CAN/TRASH DUMPSTER,20
OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,19
MTA - GOLD LINE - SOTO,19
CULTURAL SIGNIFICANCE/MONUMENT,19
MTA - GOLD LINE - MARIACHI PLAZA,18
MTA - ORANGE LINE - SEPULVEDA,18
BANKING INSIDE MARKET-STORE *,17
MTA - ORANGE LINE - RESEDA,17
PAY PHONE,16
RECORD-CD MUSIC/COMPUTER GAME STORE,16
MTA - PURPLE LINE - PERSHING SQUARE,16
MTA - SILVER LINE - HARBOR FWY,15
TV/RADIO/APPLIANCE,15
MTA - GOLD LINE - LINCOLN/CYPRESS,15
WATER FACILITY,14
MTA - PURPLE LINE - 7TH AND METRO CENTER,14
"OTHER RR TRAIN (UNION PAC, SANTE FE ETC",14
MTA - GOLD LINE - SOUTHWEST MUSEUM,14
MTA - SILVER LINE - SLAUSON,13
MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK,13
MTA - GOLD LINE - HERITAGE SQ,13
MTA - ORANGE LINE - BALBOA,13
DRIVE THRU BANKING (WINDOW)*,12
"TRUCK, COMMERICAL",12
METHADONE CLINIC,12
COMPUTER SERVICES/REPAIRS/SALES,12
"OTHER INTERSTATE, CHARTER BUS",12
MTA - ORANGE LINE - WOODLEY,12
MTA - ORANGE LINE - ROSCOE,11
MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,11
MTA - ORANGE LINE - WOODMAN,11
GARMENT MANUFACTURER,10
MTA - ORANGE LINE - SHERMAN WAY,10
MTA - ORANGE LINE - TAMPA,10
ABATEMENT LOCATION,10
MTA - GOLD LINE - PICO/ALISO,9
RETIRED (DUPLICATE) DO NOT USE THIS CODE,9
MTA - GOLD LINE - LITTLE TOKYO/ARTS DISTRICT,9
ESCALATOR*,9
ABORTION CLINIC/ABORTION FACILITY*,8
MASS GATHERING LOCATION,7
MTA - ORANGE LINE - VALLEY COLLEGE,7
MTA - PURPLE LINE - UNION STATION,7
MTA - ORANGE LINE - PIERCE COLLEGE,6
MTA - ORANGE LINE - NORDHOFF,6
MTA - ORANGE LINE - LAUREL CANYON,6
MTA - ORANGE LINE - DE SOTO,6
VIDEO RENTAL STORE,5
SKATING RINK*,5
BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*,5
HOCKEY RINK/ICE HOCKEY,5
MTA - SILVER LINE - ROSECRANS,4
OIL REFINERY,4
MTA - SILVER LINE - MANCHESTER,4
CHEMICAL STORAGE/MANUFACTURING PLANT,4
MTA - GOLD LINE - INDIANA,4
HANDBALL COURTS,3
SURPLUS SURVIVAL STORE,3
MTA - SILVER LINE - PACIFIC COAST HWY,3
MTA - SILVER LINE - UNION STATION,3
MUSCLE BEACH,2
MTA - SILVER LINE - LAC/USC MEDICAL CENTER,2
MTA - SILVER LINE - DOWNTOWN STREET STOPS,2
MTA - SILVER LINE - 37TH ST/USC,2
HARBOR FRWY STATION (NOT LINE SPECIFIC),2
HORSE RACING/SANTA ANITA PARK*,1
SEWAGE FACILITY/PIPE,1
